item_name,item_type,source,target,item_value
D3,REQUEST,"And what about people who come to live in country nowadays from countries outside Europe, would you say that...","Und wie denken Sie über Zuwanderer, die heute aus Ländern außerhalb Euro- pas nach Deutschland kommen?",
D3,RESPONSE,...most come from the richer countries of Europe,"...die meisten kommen aus reicheren Ländern außerhalb Europas,",1
D3,RESPONSE,most come from the poorer countries of Europe,"...oder: die meisten kommen aus ärmeren Ländern außerhalb Europas,",2
D3,RESPONSE,"or, is it about half and half?","...oder würden Sie sagen, dass diese beiden Zuwanderergruppen ungefähr gleich groß sind?",3
D3,RESPONSE,(Don't know),(Weiß nicht),888
D4,REQUEST,"Now, using this card, to what extent do you think country should allow people of the same race or ethnic group as most country people to come and live here?","Nun zu der Frage, wie vielen Zuwanderern es Deutschland erlauben sollte, hier zu leben.",
D4,RESPONSE,Allow many to come and live here,"vielen erlauben, herzukommen und hier zu leben",1
D4,RESPONSE,Allow some,einigen erlauben,2
D4,RESPONSE,Allow a few,ein paar wenigen erlauben,3
D4,RESPONSE,Allow none,niemandem erlauben,4
D4,RESPONSE,(Don't know),(Weiß nicht),888
D5,REQUEST,How about people of a different race or ethnic group from most country people?,"Wie ist das mit Zuwanderern, die einer anderen Volksgruppe oder ethnischen Gruppe angehören als die Mehrheit der Deutschen?",
D5,INSTRUCTION,Still use this card.,Bitte benutzen Sie wieder Liste 24.,
D5,RESPONSE,Allow many to come and live here,"vielen erlauben, herzukommen und hier zu leben",1
D5,RESPONSE,Allow some,einigen erlauben,2
D5,RESPONSE,Allow a few,ein paar wenigen erlauben,3
D5,RESPONSE,Allow none,niemandem erlauben,4
D5,RESPONSE,(Don't know),(Weiß nicht),888
D6,REQUEST,"Now, still using this card, to what extent do you think country should allow people from the richer countries in Europe to come and live here?","Wie ist das mit Zuwanderern, die aus den reicheren Ländern Europas kommen?",
D6,RESPONSE,Allow many to come and live here,"vielen erlauben, herzukommen und hier zu leben",1
D6,RESPONSE,Allow some,einigen erlauben,2
D6,RESPONSE,Allow a few,ein paar wenigen erlauben,3
D6,RESPONSE,Allow none,niemandem erlauben,4
D6,RESPONSE,(Don't know),(Weiß nicht),888
D7,REQUEST,And how about people from the poorer countries in Europe?,"Wie ist das mit Zuwanderern, die aus den ärmeren Ländern Europas kommen?",
D7,INSTRUCTION,Still use this card.,Bitte nochmals Liste 24..,
D7,RESPONSE,Allow many to come and live here,"vielen erlauben, herzukommen und hier zu leben",1
D7,RESPONSE,Allow some,einigen erlauben,2
D7,RESPONSE,Allow a few,ein paar wenigen erlauben,3
D7,RESPONSE,Allow none,niemandem erlauben,4
D7,RESPONSE,(Don't know),(Weiß nicht),888
D8,REQUEST,To what extent do you think country should allow people from the richer countries outside Europe to come and live here?,"Und wie vielen Zuwandern aus reicheren Ländern außerhalb Europas sollte es Deutschland erlauben, hier zu leben?",
D8,INSTRUCTION,Use the same card.,Bitte sagen Sie es mir immer noch hand von Liste 24.,
D8,RESPONSE,Allow many to come and live here,"vielen erlauben, herzukommen und hier zu leben",1
D8,RESPONSE,Allow some,einigen erlauben,2
D8,RESPONSE,Allow a few,ein paar wenigen erlauben,3
D8,RESPONSE,Allow none,niemandem erlauben,4
D8,RESPONSE,(Don't know),(Weiß nicht),888
D9,REQUEST,How about people from the poorer countries outside Europe?,Wie ist das mit Zuwanderern aus ärmeren Ländern außerhalb Europas?,
D9,INSTRUCTION,Use the same card.,Bitte wieder Liste 24.,
D9,RESPONSE,Allow many to come and live here,"vielen erlauben, herzukommen und hier zu leben",1
D9,RESPONSE,Allow some,einigen erlauben,2
D9,RESPONSE,Allow a few,ein paar wenigen erlauben,3
D9,RESPONSE,Allow none,niemandem erlauben,4
D9,RESPONSE,(Don't know),(Weiß nicht),888
D10,REQUEST,"Please tell me how important you think each of these things should be in deciding whether someone born, brought up and living outside country should be able to come and live here.","Jetzt geht es um die Entscheidung darüber, ob jemand, der außerhalb von Deutschland geboren und aufgewachsen ist, nach Deutschland kommen und hier leben darf.",
D10,INSTRUCTION,Please use this card.,Interviewer: BITTE VORLESEN,
D10,INSTRUCTION,,Bitte benutzen Sie Liste 25.,
D10,REQUEST,"Firstly, how important should it be for them to ...",Wie wichtig sollten für diese Entscheidung - Ihrer Meinung nach - die folgenden Dinge sein.,
D10,REQUEST,have good educational qualifications?,"Wie wichtig sollte es sein, dass diese Person",
D10,RESPONSE, Extremely unimportant, äußerst unwichtig,0
D10,RESPONSE,1,1,1
D10,RESPONSE,2,2,2
D10,RESPONSE,3,3,3
D10,RESPONSE,4,4,4
D10,RESPONSE,5,5,5
D10,RESPONSE,6,6,6
D10,RESPONSE,7,7,7
D10,RESPONSE,8,8,8
D10,RESPONSE,9,9,9
D10,RESPONSE, Extremely important, äußerst wichtig,10
D10,RESPONSE, (Don't know),(Weiß nicht),888
D11,REQUEST,have close family living here?,...enge Familienangehörige in Deutschland hat?,
D11,RESPONSE, Extremely unimportant, äußerst unwichtig,0
D11,RESPONSE,1,1,1
D11,RESPONSE,2,2,2
D11,RESPONSE,3,3,3
D11,RESPONSE,4,4,4
D11,RESPONSE,5,5,5
D11,RESPONSE,6,6,6
D11,RESPONSE,7,7,7
D11,RESPONSE,8,8,8
D11,RESPONSE,9,9,9
D11,RESPONSE, Extremely important, äußerst wichtig,10
D11,RESPONSE, (Don't know),(Weiß nicht),888
D12,REQUEST,be able to speak country's official language(s)?,...Deutsch sprechen kann?,
D12,RESPONSE, Extremely unimportant, äußerst unwichtig,0
D12,RESPONSE,1,1,1
D12,RESPONSE,2,2,2
D12,RESPONSE,3,3,3
D12,RESPONSE,4,4,4
D12,RESPONSE,5,5,5
D12,RESPONSE,6,6,6
D12,RESPONSE,7,7,7
D12,RESPONSE,8,8,8
D12,RESPONSE,9,9,9
D12,RESPONSE, Extremely important, äußerst wichtig,10
D12,RESPONSE, (Don't know),(Weiß nicht),888
D13,REQUEST,be able to speak country's official language(s)?,...eine christliche Herkunft hat?,
D13,RESPONSE, Extremely unimportant, äußerst unwichtig,0
D13,RESPONSE,1,1,1
D13,RESPONSE,2,2,2
D13,RESPONSE,3,3,3
D13,RESPONSE,4,4,4
D13,RESPONSE,5,5,5
D13,RESPONSE,6,6,6
D13,RESPONSE,7,7,7
D13,RESPONSE,8,8,8
D13,RESPONSE,9,9,9
D13,RESPONSE, Extremely important, äußerst wichtig,10
D13,RESPONSE, (Don't know),(Weiß nicht),888
D14,REQUEST,come from a Christian background?,...weiße Hautfarbe hat?,
D14,RESPONSE, Extremely unimportant, äußerst unwichtig,0
D14,RESPONSE,1,1,1
D14,RESPONSE,2,2,2
D14,RESPONSE,3,3,3
D14,RESPONSE,4,4,4
D14,RESPONSE,5,5,5
D14,RESPONSE,6,6,6
D14,RESPONSE,7,7,7
D14,RESPONSE,8,8,8
D14,RESPONSE,9,9,9
D14,RESPONSE, Extremely important, äußerst wichtig,10
D14,RESPONSE, (Don't know),(Weiß nicht),888
D15,REQUEST,be wealthy?,...wohlhabend ist?,
D15,RESPONSE, Extremely unimportant, äußerst unwichtig,0
D15,RESPONSE,1,1,1
D15,RESPONSE,2,2,2
D15,RESPONSE,3,3,3
D15,RESPONSE,4,4,4
D15,RESPONSE,5,5,5
D15,RESPONSE,6,6,6
D15,RESPONSE,7,7,7
D15,RESPONSE,8,8,8
D15,RESPONSE,9,9,9
D15,RESPONSE, Extremely important, äußerst wichtig,10
D15,RESPONSE, (Don't know),(Weiß nicht),888
D16,REQUEST,have work skills that country needs?,"...berufliche Fähigkeiten hat, die man in Deutschland braucht?",
D16,RESPONSE, Extremely unimportant, äußerst unwichtig,0
D16,RESPONSE,1,1,1
D16,RESPONSE,2,2,2
D16,RESPONSE,3,3,3
D16,RESPONSE,4,4,4
D16,RESPONSE,5,5,5
D16,RESPONSE,6,6,6
D16,RESPONSE,7,7,7
D16,RESPONSE,8,8,8
D16,RESPONSE,9,9,9
D16,RESPONSE, Extremely important, äußerst wichtig,10
D16,RESPONSE, (Don't know),(Weiß nicht),888
D17,REQUEST,be committed to the way of life in country?,"...bereit ist, die Lebensweise in Deutschland anzunehmen?",
D17,RESPONSE, Extremely unimportant, äußerst unwichtig,0
D17,RESPONSE,1,1,1
D17,RESPONSE,2,2,2
D17,RESPONSE,3,3,3
D17,RESPONSE,4,4,4
D17,RESPONSE,5,5,5
D17,RESPONSE,6,6,6
D17,RESPONSE,7,7,7
D17,RESPONSE,8,8,8
D17,RESPONSE,9,9,9
D17,RESPONSE, Extremely important, äußerst wichtig,10
D17,RESPONSE, (Don't know),(Weiß nicht),888
D18,REQUEST,"Using this card, please say how much you agree or disagree with each of the following statements.","Benutzen Sie Liste 26 und sagen Sie mir bitte, wie sehr Sie jeder der folgenden Aussagen zustimmen oder wie sehr Sie diese ablehnen.",
D18,REQUEST,Firstly...,"Im Allgemeinen sinken die durchschnittlichen Löhne und Gehälter durch Zuwanderer, die nach Deutschland kommen.",
D18,RESPONSE,Agree,stimme stark zu,1
D18,RESPONSE,Agree strongly,stimme zu,2
D18,RESPONSE,Neither agree nor disagree,weder noch,3
D18,RESPONSE,Disagree,lehne ab,4
D18,RESPONSE,Disagree strongly,lehne stark ab,5
D18,RESPONSE,(Don't know),(Weiß nicht),888
D19,REQUEST,People who come to live and work here generally harm the economic prospects of the poor more than the rich,"Im Allgemeinen schaden Zuwanderer, die nach Deutschland kommen, den Armen wirtschaftlich mehr als den Reichen.",
D19,RESPONSE,Agree,stimme stark zu,1
D19,RESPONSE,Agree strongly,stimme zu,2
D19,RESPONSE,Neither agree nor disagree,weder noch,3
D19,RESPONSE,Disagree,lehne ab,4
D19,RESPONSE,Disagree strongly,lehne stark ab,5
D19,RESPONSE,(Don't know),(Weiß nicht),888
D20,REQUEST,People who come to live and work here help to fill jobs where there are shortages of workers,"Zuwanderer, die nach Deutschland kommen, helfen solche Arbeitsplätze zu besetzen, für die es einen Mangel an Arbeitskräften gibt.",
D20,RESPONSE,Agree,stimme stark zu,1
D20,RESPONSE,Agree strongly,stimme zu,2
D20,RESPONSE,Neither agree nor disagree,weder noch,3
D20,RESPONSE,Disagree,lehne ab,4
D20,RESPONSE,Disagree strongly,lehne stark ab,5
D20,RESPONSE,(Don't know),(Weiß nicht),888
D21,REQUEST,"If people who have come to live and work here are unemployed for a long period, they should be made to leave","Wenn Zuwanderer, die nach Deutschland kommen, lange Zeit arbeitslos sind, dann müssen sie das Land wieder verlassen.",
D21,RESPONSE,Agree,stimme stark zu,1
D21,RESPONSE,Agree strongly,stimme zu,2
D21,RESPONSE,Neither agree nor disagree,weder noch,3
D21,RESPONSE,Disagree,lehne ab,4
D21,RESPONSE,Disagree strongly,lehne stark ab,5
D21,RESPONSE,(Don't know),(Weiß nicht),888
D22,REQUEST,People who have come to live here should be given the same rights as everyone else,"Zuwanderer, die nach Deutschland kommen, sollten dieselben Rechte bekommen wie alle anderen.",
D22,RESPONSE,Agree,stimme stark zu,1
D22,RESPONSE,Agree strongly,stimme zu,2
D22,RESPONSE,Neither agree nor disagree,weder noch,3
D22,RESPONSE,Disagree,lehne ab,4
D22,RESPONSE,Disagree strongly,lehne stark ab,5
D22,RESPONSE,(Don't know),(Weiß nicht),888
D23,REQUEST,"If people who have come to live here commit a serious crime, they should be made to leave","Wenn Zuwanderer, die nach Deutschland kommen, eine schwere Straftat begehen, dann müssen sie das Land wieder verlassen.",
D23,RESPONSE,Agree,stimme stark zu,1
D23,RESPONSE,Agree strongly,stimme zu,2
D23,RESPONSE,Neither agree nor disagree,weder noch,3
D23,RESPONSE,Disagree,lehne ab,4
D23,RESPONSE,Disagree strongly,lehne stark ab,5
D23,RESPONSE,(Don't know),(Weiß nicht),888
D24,REQUEST,"If people who have come to live here commit any crime, they should be made to leave","Wenn Zuwanderer, die nach Deutschland kommen, irgendeine Straftat begehen, dann müssen sie das Land wieder verlassen.",
D24,RESPONSE,Agree,stimme stark zu,1
D24,RESPONSE,Agree strongly,stimme zu,2
D24,RESPONSE,Neither agree nor disagree,weder noch,3
D24,RESPONSE,Disagree,lehne ab,4
D24,RESPONSE,Disagree strongly,lehne stark ab,5
D24,RESPONSE,(Don't know),(Weiß nicht),888
D25,REQUEST,"Using this card, would you say that people who come to live here generally take jobs away from workers in country, or generally help to create new jobs?","Was würden Sie sagen, nehmen Zuwanderer, die hierher kommen, im Allgemeinen Arbeitnehmern in Deutschland die Arbeitsplätze weg oder helfen sie im Allgemeinen, neue Arbeitsplätze zu schaffen?",
D25,RESPONSE, Take jobs away, nehmen Arbeitsplätze weg,0
D25,RESPONSE,1,1,1
D25,RESPONSE,2,2,2
D25,RESPONSE,3,3,3
D25,RESPONSE,4,4,4
D25,RESPONSE,5,5,5
D25,RESPONSE,6,6,6
D25,RESPONSE,7,7,7
D25,RESPONSE,8,8,8
D25,RESPONSE,9,9,9
D25,RESPONSE, Create new jobs, schaffen neue Arbeitsplätze,10
D25,RESPONSE, (Don't know),(Weiß nicht),888
D26,REQUEST,Most people who come to live here work and pay taxes.,"Die meisten Zuwanderer, die hierher kommen, arbeiten und zahlen Steuern.",
D26,REQUEST,They also use health and welfare services.,Sie nehmen außerdem das Gesundheitssystem und Sozialleistungen in Anspruch.,
D26,REQUEST,"On balance, do you think people who come here take out more than they put in or put in more than they take out?","Wenn Sie abwägen, denken Sie, dass Zuwanderer mehr bekommen als sie geben, oder mehr geben, als sie bekommen?",
D26,INSTRUCTION,Please use this card.,Bitte benutzen Sie Liste 28.,
D26,RESPONSE, Generally take out more, im Allgemeinen bekommen sie mehr,0
D26,RESPONSE,1,1,1
D26,RESPONSE,2,2,2
D26,RESPONSE,3,3,3
D26,RESPONSE,4,4,4
D26,RESPONSE,5,5,5
D26,RESPONSE,6,6,6
D26,RESPONSE,7,7,7
D26,RESPONSE,8,8,8
D26,RESPONSE,9,9,9
D26,RESPONSE, Generally put in more, im Allgemeinen geben sie mehr,10
D26,RESPONSE, (Don't know),(Weiß nicht),888
D27,REQUEST,Would you say it is generally bad or good for country's economy that people come to live here from other countries?,"Was würden Sie sagen, ist es im Allgemeinen gut oder schlecht für die deutsche Wirtschaft, dass Zuwanderer hierher kommen?",
D27,INSTRUCTION,Please use this card.,Bitte benutzen Sie Liste 29.,
D27,RESPONSE, Bad for the economy, schlecht für die Wirtschaft,0
D27,RESPONSE,1,1,1
D27,RESPONSE,2,2,2
D27,RESPONSE,3,3,3
D27,RESPONSE,4,4,4
D27,RESPONSE,5,5,5
D27,RESPONSE,6,6,6
D27,RESPONSE,7,7,7
D27,RESPONSE,8,8,8
D27,RESPONSE,9,9,9
D27,RESPONSE, Good for the economy, gut für die Wirtschaft,10
D27,RESPONSE, (Don't know),(Weiß nicht),888
D28,REQUEST,"And, using this card, would you say that country's cultural life is generally undermined or enriched by people coming to live here from other countries?","Und, wenn Sie Liste 30 benutzen, würden Sie sagen, dass das kulturelle Leben in Deutschland im Allgemeinen durch Zuwanderer untergraben oder bereichert wird?",
D28,RESPONSE, Cultural life undermined, kulturelles Leben wird untergraben,0
D28,RESPONSE,1,1,1
D28,RESPONSE,2,2,2
D28,RESPONSE,3,3,3
D28,RESPONSE,4,4,4
D28,RESPONSE,5,5,5
D28,RESPONSE,6,6,6
D28,RESPONSE,7,7,7
D28,RESPONSE,8,8,8
D28,RESPONSE,9,9,9
D28,RESPONSE, Cultural life enriched, kulturelles Leben wird bereichert,10
D28,RESPONSE, (Don't know),(Weiß nicht),888
D29,REQUEST,Is country made a worse or a better place to live by people coming to live here from other countries?,Wird Deutschland durch Zuwanderer zu einem schlechteren oder besseren Ort zum Leben?,
D29,INSTRUCTION,Please use this card.,Bitte benutzen Sie Liste 31.,
D29,RESPONSE, Worse place to live, wird zu einem schlechteren Ort zum Leben,0
D29,RESPONSE,1,1,1
D29,RESPONSE,2,2,2
D29,RESPONSE,3,3,3
D29,RESPONSE,4,4,4
D29,RESPONSE,5,5,5
D29,RESPONSE,6,6,6
D29,RESPONSE,7,7,7
D29,RESPONSE,8,8,8
D29,RESPONSE,9,9,9
D29,RESPONSE, Better place to live, wird zu einem besseren Ort zum Leben,10
D29,RESPONSE, (Don't know),(Weiß nicht),888
D30,REQUEST,Are country's crime problems made worse or better by people coming to live here from other countries?,Nehmen durch Zuwanderer Deutschlands Probleme mit der Kriminalität zu oder ab?,
D30,INSTRUCTION,Please use this card.,Bitte benutzen Sie Liste 32.,
D30,RESPONSE, Crime problems made worse, Probleme mit der Kriminalität nehmen zu,0
D30,RESPONSE,1,1,1
D30,RESPONSE,2,2,2
D30,RESPONSE,3,3,3
D30,RESPONSE,4,4,4
D30,RESPONSE,5,5,5
D30,RESPONSE,6,6,6
D30,RESPONSE,7,7,7
D30,RESPONSE,8,8,8
D30,RESPONSE,9,9,9
D30,RESPONSE, Crime problems made better, Probleme mit der Kriminalität nehmen ab,10
D30,RESPONSE, (Don't know),(Weiß nicht),888
D31,REQUEST,"When people leave their countries to come to live in country, do you think it has a bad or good effect on those countries in the long run?",Was ist Ihre Ansicht:,
D31,INSTRUCTION,Please use this card.,Bitte benutzen Sie Liste 33.,
D31,RESPONSE, Bad for those countries in the long run, langfristig schlecht für die Herkunftsländer,0
D31,RESPONSE,1,1,1
D31,RESPONSE,2,2,2
D31,RESPONSE,3,3,3
D31,RESPONSE,4,4,4
D31,RESPONSE,5,5,5
D31,RESPONSE,6,6,6
D31,RESPONSE,7,7,7
D31,RESPONSE,8,8,8
D31,RESPONSE,9,9,9
D31,RESPONSE, Good for those countries in the long run, langfristig gut für die Herkunftsländer,10
D31,RESPONSE, (Don't know),(Weiß nicht),888
D32,REQUEST,"Using this card, please say how much you agree or disagree with the following statements.","Bitte benutzen Sie Liste 34 und sagen Sie mir, wie sehr Sie den folgenden Aussagen zustimmen oder wie sehr Sie diese ablehnen.",
D32,REQUEST,Firstly...,"Alle Länder würden profitieren, wenn Menschen in die Länder ziehen könnten, wo ihre Fähigkeiten am meisten gebraucht werden.",
D32,RESPONSE,Agree,stimme stark zu,1
D32,RESPONSE,Neither agree nor disagree,weder noch,3
D32,RESPONSE,Disagree,lehne ab,4
D32,RESPONSE,Disagree strongly,lehne stark ab,5
D32,RESPONSE,(Don't know),(Weiß nicht),888
D33,REQUEST,Richer countries have a responsibility to accept people from poorer countries,"Reichere Länder haben die Verantwortung, Menschen aus ärmeren Ländern aufzunehmen.",
D33,RESPONSE,Agree,stimme stark zu,1
D33,RESPONSE,Neither agree nor disagree,weder noch,3
D33,RESPONSE,Disagree,lehne ab,4
D33,RESPONSE,Disagree strongly,lehne stark ab,5
D33,RESPONSE,(Don't know),(Weiß nicht),888
D34,REQUEST,"Now thinking again of people who have come to live in country from another country who are of the same race or ethnic group as most country people, how much would you mind or not mind if someone like this...","Denken Sie noch einmal an die Zuwanderer, die nach Deutschland kommen und derselben Volksgruppe oder ethnischen Gruppe angehören wie die meisten Deutschen.",
D34,REQUEST,was appointed as your boss?,Bitte benutzen Sie Liste 35 und sagen Sie mir:,
D34,INSTRUCTION,Please use this card for your answer.,Interviewer: LISTE 35 VORLEGEN UND BIS FRAGE D37 LIEGENLASSEN.,
D34,INSTRUCTION,,BITTE VORLESEN,
D34,RESPONSE, Not mind at all, würde mich überhaupt nicht stören,0
D34,RESPONSE,1,1,1
D34,RESPONSE,2,2,2
D34,RESPONSE,3,3,3
D34,RESPONSE,4,4,4
D34,RESPONSE,5,5,5
D34,RESPONSE,6,6,6
D34,RESPONSE,7,7,7
D34,RESPONSE,8,8,8
D34,RESPONSE,9,9,9
D34,RESPONSE, Mind a lot, würde mich sehr stören,10
D34,RESPONSE, (Don't know),(Weiß nicht),888
D35,REQUEST,married a close relative of yours?,...eine mit Ihnen nahe verwandte Person heiraten würde?,
D35,RESPONSE, Not mind at all, würde mich überhaupt nicht stören,0
D35,RESPONSE,1,1,1
D35,RESPONSE,2,2,2
D35,RESPONSE,3,3,3
D35,RESPONSE,4,4,4
D35,RESPONSE,5,5,5
D35,RESPONSE,6,6,6
D35,RESPONSE,7,7,7
D35,RESPONSE,8,8,8
D35,RESPONSE,9,9,9
D35,RESPONSE, Mind a lot, würde mich sehr stören,10
D35,RESPONSE, (Don't know),(Weiß nicht),888
D36,REQUEST,And now thinking of people who have come to live in country from another country who are of a different race or ethnic group from most country people.,"Bitte benutzen Sie wieder Liste 35 und denken Sie jetzt an Zuwanderer, die nach Deutschland kommen und einer anderen Volksgruppe oder ethnischen Gruppe angehören als die meisten Deutschen:",
D36,REQUEST,How much would you mind or not mind if someone like this...,"Wie sehr würde es Sie stören oder nicht stören, wenn so jemand ...",
D36,REQUEST,was appointed as your boss?,...Ihr Vorgesetzter würde?,
D36,INSTRUCTION,Please use this card for your answer.,Interviewer: BITTE VORLESEN,
D36,RESPONSE, Not mind at all, würde mich überhaupt nicht stören,0
D36,RESPONSE,1,1,1
D36,RESPONSE,2,2,2
D36,RESPONSE,3,3,3
D36,RESPONSE,4,4,4
D36,RESPONSE,5,5,5
D36,RESPONSE,6,6,6
D36,RESPONSE,7,7,7
D36,RESPONSE,8,8,8
D36,RESPONSE,9,9,9
D36,RESPONSE, Mind a lot, würde mich sehr stören,10
D36,RESPONSE, (Don't know),(Weiß nicht),888
D37,REQUEST,married a close relative of yours?,...eine mit Ihnen nahe verwandte Person heiraten würde?,
D37,RESPONSE, Not mind at all, würde mich überhaupt nicht stören,0
D37,RESPONSE,1,1,1
D37,RESPONSE,2,2,2
D37,RESPONSE,3,3,3
D37,RESPONSE,4,4,4
D37,RESPONSE,5,5,5
D37,RESPONSE,6,6,6
D37,RESPONSE,7,7,7
D37,RESPONSE,8,8,8
D37,RESPONSE,9,9,9
D37,RESPONSE, Mind a lot, würde mich sehr stören,10
D37,RESPONSE, (Don't know),(Weiß nicht),888
D38,REQUEST,Suppose you were choosing where to live.,"Stellen Sie sich vor, Sie könnten aussuchen, wo Sie wohnen möchten.",
D38,REQUEST,Which of the three types of area on this card would you ideally wish to live in?,"In welchem der drei Wohngebiete, die auf Liste 36 stehen, würden Sie am liebsten wohnen?",
D38,RESPONSE,An area where almost nobody was of a different race or ethnic group from most country people,"Ein Gebiet, in dem so gut wie niemand einer anderen Volksgruppe oder ethnischen Gruppe angehört als die meisten Deutschen",1
D38,RESPONSE,Some people were of a different race or ethnic group from most country people,"Ein Gebiet, in dem einige Menschen einer anderen Volksgruppe oder ethnischen Gruppe angehören als die meisten Deutschen",2
D38,RESPONSE,Many people were of a different race or ethnic group,"Ein Gebiet, in dem viele Menschen einer anderen Volksgruppe oder ethnischen Gruppe angehören als die meisten Deutschen",3
D38,RESPONSE,It would make no difference,Es würde keinen Unterschied machen Antwort verweigert,4
D38,RESPONSE,(Don't know),(Weiß nicht),888
D39,REQUEST,"And now using this card, how would you describe the area where you currently live?","Und nun benutzen Sie Liste 37 und sagen mir bitte, wie Sie das Wohngebiet beschreiben würden, in dem Sie gegenwärtig leben.",
D39,RESPONSE,An area where almost nobody was of a different race or ethnic group from most country people,"Ein Gebiet, in dem so gut wie niemand einer anderen Volksgruppe oder ethnischen Gruppe angehört als die meisten Deutschen",1
D39,RESPONSE,Some people were of a different race or ethnic group from most country people,"Ein Gebiet, in dem einige Menschen einer anderen Volksgruppe oder ethnischen Gruppe angehören als die meisten Deutschen",2
