item_name,item_type,source,target,item_value
B5,RESPONSE,Many care,Mange bryr seg,4
B5,RESPONSE,Most politicians care what people like me think,De fleste politikere bryr seg om hva folk som jeg mener,5
B5,RESPONSE,(Don't know),(Vet ikke),888
B6,REQUEST,Would you say that politicians are just interested in getting people's votes rather than in people's opinions?,Vil du si at politikere bare er interessert i å få stemmene til folk eller er de interessert I hva folk mener?,
B6,INSTRUCTION,,KORT 10,
B6,INSTRUCTION,Please use this card.,Velg ett av svaralternativene på dette kortet.,
B6,RESPONSE,Nearly all politicians are just interested in votes,Nesten alle politikere er bare interessert i stemmene til folk,1
B6,RESPONSE,Most politicians are just interested in votes,De fleste politikere er bare interessert i stemmene til folk,2
B6,RESPONSE,"Some politicians are just interested in votes, others aren't","Noen politikere er bare interessert i stemmer, andre ikke",3
B6,RESPONSE,Most politicians are interested in people's opinions,De fleste politikere er interessert i folks meninger,4
B6,RESPONSE,Nearly all politicians are interested in people's opinions,Nesten alle politikere er interessert i folks meninger,5
B6,RESPONSE,(Don't know),(Vet ikke),888
B7,REQUEST,"Using this card, please tell me on a score of 0-10 how much you personally trust each of the institutions I read out.","Se på dette kortet, og fortell meg på en skala fra 0-10 hvor stor tillit du personlig har til hver av institusjonene jeg leser opp.",
B7,REQUEST,"0 means you do not trust an institution at all, and 10 means you have complete trust.",Null star for at du ikke har noen tillit til institusjonenidet hele tatt mens ti står for at du har full tillit til institusjonenen.,
B7,REQUEST,Firstly country's parliament?,Vi begynner med...,
B7,RESPONSE, No trust At all, Ingen tillit I det hele tatt,0
B7,RESPONSE,1,1,1
B7,RESPONSE,2,2,2
B7,RESPONSE,3,3,3
B7,RESPONSE,4,4,4
B7,RESPONSE,5,5,5
B7,RESPONSE,6,6,6
B7,RESPONSE,7,7,7
B7,RESPONSE,8,8,8
B7,RESPONSE,9,9,9
B7,RESPONSE, Complete trust, Full tillit,10
B7,RESPONSE,(Don't know),(Vet ikke),888
B8,REQUEST,... the legal system?,rettsvesenet?,
B8,RESPONSE, No trust At all, Ingen tillit I det hele tatt,0
B8,RESPONSE,1,1,1
B8,RESPONSE,2,2,2
B8,RESPONSE,3,3,3
B8,RESPONSE,4,4,4
B8,RESPONSE,5,5,5
B8,RESPONSE,6,6,6
B8,RESPONSE,7,7,7
B8,RESPONSE,8,8,8
B8,RESPONSE,9,9,9
B8,RESPONSE, Complete trust, Full tillit,10
B8,RESPONSE,(Don't know),(Vet ikke),888
B9,REQUEST,... the police?,... politiet?,
B9,RESPONSE, No trust At all, Ingen tillit I det hele tatt,0
B9,RESPONSE,1,1,1
B9,RESPONSE,2,2,2
B9,RESPONSE,3,3,3
B9,RESPONSE,4,4,4
B9,RESPONSE,5,5,5
B9,RESPONSE,6,6,6
B9,RESPONSE,7,7,7
B9,RESPONSE,8,8,8
B9,RESPONSE,9,9,9
B9,RESPONSE, Complete trust, Full tillit,10
B9,RESPONSE,(Don't know),(Vet ikke),888
B10,REQUEST,... politicians?,... politikere?,
B10,RESPONSE, No trust At all, Ingen tillit I det hele tatt,0
B10,RESPONSE,1,1,1
B10,RESPONSE,2,2,2
B10,RESPONSE,3,3,3
B10,RESPONSE,4,4,4
B10,RESPONSE,5,5,5
B10,RESPONSE,6,6,6
B10,RESPONSE,7,7,7
B10,RESPONSE,8,8,8
B10,RESPONSE,9,9,9
B10,RESPONSE, Complete trust, Full tillit,10
B10,RESPONSE,(Don't know),(Vet ikke),888
B11,REQUEST,... the European Parliament?,... Europaparla mentet?,
B11,RESPONSE, No trust At all, Ingen tillit I det hele tatt,0
B11,RESPONSE,1,1,1
B11,RESPONSE,2,2,2
B11,RESPONSE,3,3,3
B11,RESPONSE,4,4,4
B11,RESPONSE,5,5,5
B11,RESPONSE,6,6,6
B11,RESPONSE,7,7,7
B11,RESPONSE,8,8,8
B11,RESPONSE,9,9,9
B11,RESPONSE, Complete trust, Full tillit,10
B11,RESPONSE,(Don't know),(Vet ikke),888
B12,REQUEST,... the United Nations?,... FN?,
B12,RESPONSE, No trust At all, Ingen tillit I det hele tatt,0
B12,RESPONSE,1,1,1
B12,RESPONSE,2,2,2
B12,RESPONSE,3,3,3
B12,RESPONSE,4,4,4
B12,RESPONSE,5,5,5
B12,RESPONSE,6,6,6
B12,RESPONSE,7,7,7
B12,RESPONSE,8,8,8
B12,RESPONSE,9,9,9
B12,RESPONSE, Complete trust, Full tillit,10
B12,RESPONSE,(Don't know),(Vet ikke),888
B13,REQUEST,Some people don't vote nowadays for one reason or another.,"Noen mennesker stemmer ikke ved valg, av ulike grunner.",
B13,REQUEST,Did you vote in the last country national election in month/year?,"Stemte du ved siste Stortingsvalg, ifjor høst?",
B13,RESPONSE,Yes,Ja,1
B13,RESPONSE,No,Nei,2
B13,RESPONSE,Not eligible to vote,Har ikke stemmerett,3
B13,RESPONSE,(Don't know),(Vet ikke),888
B14,REQUEST,Which party did you vote for in that election?,Hvilket parti stemte du på i det valget?,
B14,RESPONSE,Conservative,Rød Valgallianse/AKP,1
B14,RESPONSE,Labour,Sosialistisk Venstreparti,2
B14,RESPONSE,Liberal Democrat,Det Norske Arbeiderparti,3
B14,RESPONSE,Scottish National Party,Venstre,4
B14,RESPONSE,Plaid Cymru,Kristelig Folkeparti,5
B14,RESPONSE,Green Party,Senterpartiet,6
B14,RESPONSE,Other,Høyre,7
B14,RESPONSE,(Refused),Fremskrittspartiet,8
B14,RESPONSE,(Don't know),(Vet ikke),888
B15,REQUEST,There are different ways of trying to improve things in country or help prevent things from going wrong.,Det finnes flere måter å gå frem på for å prøve å forbedre ulike forhold i Norge eller for å forhindre at ting går galt.,
B15,REQUEST,"During the last 12 months, have you done any of the following?",Har du i løpet av de siste 12 månedene gjort noe av følgende?,
B15,REQUEST,Firstly...,Har du...,
B15,REQUEST,"Contacted a politician, government or local government official","Kontaktet en politiker eller en statlig, kommunal eller fylkeskommunal tjenestemann?",
B15,RESPONSE,Yes,Ja,1
B15,RESPONSE,No,Nei,2
B15,RESPONSE,(Don't know),(Vet ikke),888
B16,REQUEST,Worked in a political party or action group,Arbeidet i et politisk parti eller en aksjonsgruppe?,
B16,RESPONSE,Yes,Ja,1
B16,RESPONSE,No,Nei,2
B16,RESPONSE,(Don't know),(Vet ikke),888
B17,REQUEST,Worked in another organisation or association,Arbeidet i annen organisasjon eller forening?,
B17,RESPONSE,Yes,Ja,1
B17,RESPONSE,No,Nei,2
B17,RESPONSE,(Don't know),(Vet ikke),888
B18,REQUEST,Worn or displayed a campaign badge/sticker,Gått med eller vist fram et merke til støtte for en sak?,
B18,RESPONSE,Yes,Ja,1
B18,RESPONSE,No,Nei,2
B18,RESPONSE,(Don't know),(Vet ikke),888
B19,REQUEST,Signed a petition,Skrevet under på en underskriftskampanje?,
B19,RESPONSE,Yes,Ja,1
B19,RESPONSE,No,Nei,2
B19,RESPONSE,(Don't know),(Vet ikke),888
B20,REQUEST,Taken part in a lawful public demonstration,Deltatt i en lovlig offentlig demonstrasjon?,
B20,RESPONSE,Yes,Ja,1
B20,RESPONSE,No,Nei,2
B20,RESPONSE,(Don't know),(Vet ikke),888
B21,REQUEST,Boycotted certain products,Boikottet spesielle produkter?,
B21,RESPONSE,Yes,Ja,1
B21,RESPONSE,No,Nei,2
B21,RESPONSE,(Don't know),(Vet ikke),888
B22,REQUEST,"Deliberately bought certain products for political, ethical or environmental reasons","Bevisst kjøpt spesielle produkter av politiske, etiske eller miljømessige grunner?",
B22,RESPONSE,Yes,Ja,1
B22,RESPONSE,No,Nei,2
B22,RESPONSE,(Don't know),(Vet ikke),888
B23,REQUEST,Donated money to a political organisation or group,Gitt penger til en politisk organisasjon eller gruppe?,
B23,RESPONSE,Yes,Ja,1
B23,RESPONSE,No,Nei,2
B23,RESPONSE,(Don't know),(Vet ikke),888
B24,REQUEST,Participated in illegal protest activities,Deltatt i ulovlige protester eller aksjoner?,
B24,RESPONSE,Yes,Ja,1
B24,RESPONSE,No,Nei,2
B24,RESPONSE,(Don't know),(Vet ikke),888
B25a,REQUEST,Is there a particular political party you feel closer to than all the other parties?,Er det et spesielt politisk parti du føler deg nærmere knyttet til enn de andre partiene?,
B25a,RESPONSE,Yes,Ja,1
B25a,RESPONSE,No,Nei,2
B25a,RESPONSE,(Don't know),(Vet ikke),888
B25b,REQUEST,Which one?,Hvilket parti er det?,
B25b,RESPONSE,Conservative,Rød Valgallianse,1
B25b,RESPONSE,Labour,Sosialistisk Venstreparti,2
B25b,RESPONSE,Liberal Democrat,Arbeiderpartiet,3
B25b,RESPONSE,Scottish National Party,Venstre,4
B25b,RESPONSE,Plaid Cymru,Kristelig Folkeparti,5
B25b,RESPONSE,Green Party,Senterpartiet,6
B25b,RESPONSE,Other,Høyre,7
B25b,RESPONSE,(Refused),Fremskrittspartiet,8
B25b,RESPONSE,(Don't know),(Vet ikke),888
B25c,REQUEST,How close do you feel to this party?,Hvor nært føler du deg knyttet til dette partiet?,
B25c,REQUEST,Do you feel that you are ...,Er du...,
B25c,RESPONSE,very close,svært nær,1
B25c,RESPONSE,quite close,ganske nær,2
B25c,RESPONSE,not close,ikke nær,3
B25c,RESPONSE,"or, not at all close?",absolutt ikke nær?,4
B25c,RESPONSE,(Don't know),(Vet ikke),888
B26,REQUEST,Are you a member of any political party?,Er du medlem av et politisk parti?,
B26,RESPONSE,Yes,Ja,1
B26,RESPONSE,No,Nei,2
B26,RESPONSE,(Don't know),(Vet ikke),888
B27,REQUEST,Which one?,Hvilket parti er det?,
B27,RESPONSE,Conservative,Rød Valgallianse,1
B27,RESPONSE,Labour,Sosialistisk Venstreparti,2
B27,RESPONSE,Liberal Democrat,Arbeiderpartiet,3
B27,RESPONSE,Scottish National Party,Venstre,4
B27,RESPONSE,Plaid Cymru,Kristelig Folkeparti,5
B27,RESPONSE,Green Party,Senterpartiet,6
B27,RESPONSE,Other,Høyre,7
B27,RESPONSE,(Refused),Fremskrittpartiet,8
B27,RESPONSE,(Don't know),(Vet ikke),888
B28,REQUEST,"In politics people sometimes talk of ""left"" and ""right"".",I politikken snakker en ofte om venstre og høyre.,
B28,REQUEST,"Using this card, where would you place yourself on this scale, where 0 means the left and 10 means the right?","Se på dette kortet, og plasser deg selv på en skala der 0 står for venstre og 10 står for høyre.",
B28,RESPONSE, Left, Venstre,0
B28,RESPONSE,1,1,1
B28,RESPONSE,2,2,2
B28,RESPONSE,3,3,3
B28,RESPONSE,4,4,4
B28,RESPONSE,5,5,5
B28,RESPONSE,6,6,6
B28,RESPONSE,7,7,7
B28,RESPONSE,8,8,8
B28,RESPONSE,9,9,9
B28,RESPONSE, Right, Høyre,10
B28,RESPONSE,(Don't know),(Vet ikke),888
B29,REQUEST,"All things considered, how satisfied are you with your life as a whole nowadays?","Alt i alt, hvor tilfreds er du med livet nå om dagen?",
B29,REQUEST,"Please answer using this card, where 0 means extremely dissatisfied and 10 means extremely satisfied.","Svar ved å bruke tallene på dette kortet, hvor 0 betyr ekstremt missfornøyd og 10 betyr ekstremt fornøyd.",
B29,RESPONSE, Extremely dissatisfied, Ekstremt misfornøyd,0
B29,RESPONSE,1,1,1
B29,RESPONSE,2,2,2
B29,RESPONSE,3,3,3
B29,RESPONSE,4,4,4
B29,RESPONSE,5,5,5
B29,RESPONSE,6,6,6
B29,RESPONSE,7,7,7
B29,RESPONSE,8,8,8
B29,RESPONSE,9,9,9
B29,RESPONSE, Extremely satisfied, Ekstremt fornøyd,10
B29,RESPONSE,(Don't know),(Vet ikke),888
B30,REQUEST,On the whole how satisfied are you with the present state of the economy in country?,Hvor fornøyd er du i det store og hele med den nåværende økonomiske situasjonen i Norge?,
B30,INSTRUCTION,,KORT 13,
B30,INSTRUCTION,Still use this card.,Bruk fortsatt kortet til å svare.,
B30,RESPONSE, Extremely dissatisfied, Ekstremt misfornøyd,0
B30,RESPONSE,1,1,1
B30,RESPONSE,2,2,2
B30,RESPONSE,3,3,3
B30,RESPONSE,4,4,4
B30,RESPONSE,5,5,5
B30,RESPONSE,6,6,6
B30,RESPONSE,7,7,7
B30,RESPONSE,8,8,8
B30,RESPONSE,9,9,9
B30,RESPONSE, Extremely satisfied, Ekstremt fornøyd,10
B30,RESPONSE,(Don't know),(Vet ikke),888
B31,REQUEST,"Now thinking about the country government, how satisfied are you with the way it is doing its job?",Tenk nå på regjeringen i Norge.,
B31,INSTRUCTION,,FORTSATT KORT 13,
B31,INSTRUCTION,Still use this card.,Bruk fortsatt kortet til å svare.,
B31,RESPONSE, Extremely dissatisfied, Ekstremt misfornøyd,0
B31,RESPONSE,1,1,1
B31,RESPONSE,2,2,2
B31,RESPONSE,3,3,3
B31,RESPONSE,4,4,4
B31,RESPONSE,5,5,5
B31,RESPONSE,6,6,6
B31,RESPONSE,7,7,7
B31,RESPONSE,8,8,8
B31,RESPONSE,9,9,9
B31,RESPONSE, Extremely satisfied, Ekstremt fornøyd,10
B31,RESPONSE,(Don't know),(Vet ikke),888
B32,REQUEST,"And on the whole, how satisfied are you with the way democracy works in country?","Og sett under ett, hvor fornøyd er du med måten demokratiet fungerer på I Norge?",
B32,INSTRUCTION,,FORTSATT KORT 13,
B32,INSTRUCTION,Still use this card.,Velg et tall fra kortet.,
B32,RESPONSE, Extremely dissatisfied, Ekstremt misfornøyd,0
B32,RESPONSE,1,1,1
B32,RESPONSE,2,2,2
B32,RESPONSE,3,3,3
B32,RESPONSE,4,4,4
B32,RESPONSE,5,5,5
B32,RESPONSE,6,6,6
B32,RESPONSE,7,7,7
B32,RESPONSE,8,8,8
B32,RESPONSE,9,9,9
B32,RESPONSE, Extremely satisfied, Ekstremt fornøyd,10
B32,RESPONSE,(Don't know),(Vet ikke),888
B33,REQUEST,"Now, using this card, please say what you think overall about the state of education in country nowadays?",Nå vil jeg gjerne at du forteller meg hva du synes om utdanningssystemet I Norge?,
B33,RESPONSE, Extremely bad, Ekstremt dårlig,0
B33,RESPONSE,1,1,1
B33,RESPONSE,2,2,2
B33,RESPONSE,3,3,3
B33,RESPONSE,4,4,4
B33,RESPONSE,5,5,5
B33,RESPONSE,6,6,6
B33,RESPONSE,7,7,7
B33,RESPONSE,8,8,8
B33,RESPONSE,9,9,9
B33,RESPONSE, Extremely good, Ekstremt godt,10
B33,RESPONSE,(Don't know),(Vet ikke),888
B34,REQUEST,"Still using this card, please say what you think overall about the state of health services in country nowadays?",Bruk det samme kortet til å fortelle hva du mener om helsetjenestene i Norge nå om dagen?,
B34,RESPONSE, Extremely bad, Ekstremt dårlig,0
B34,RESPONSE,1,1,1
B34,RESPONSE,2,2,2
B34,RESPONSE,3,3,3
B34,RESPONSE,4,4,4
B34,RESPONSE,5,5,5
B34,RESPONSE,6,6,6
B34,RESPONSE,7,7,7
B34,RESPONSE,8,8,8
B34,RESPONSE,9,9,9
B34,RESPONSE, Extremely good, Ekstremt godt,10
B34,RESPONSE,(Don't know),(Vet ikke),888
B35,REQUEST,Policies can be decided at different levels.,Politiske saker kan avgjøres på ulike nivåer.,
B35,REQUEST,"Using this card, at which level do you think the following policies should mainly be decided?",Bruk dette kortet til å fortelle på hvilket nivå du først og fremst synes disse sakene bør avgjøres:,
B35,REQUEST,Protecting the environment,... å beskytte miljøet,
B35,RESPONSE,International level,Internasjonalt nivå,1
B35,RESPONSE,European level,Europeisk nivå,2
B35,RESPONSE,National level,Nasjonalt nivå,3
B35,RESPONSE,Regional or local level,Regionalt eller lokalt nivå,4
B35,RESPONSE,(Don't know),(Vet ikke),888
B36,REQUEST,fighting against organised crime,... å bekjempe organisert kriminalitet,
B36,RESPONSE,International level,Internasjonalt nivå,1
B36,RESPONSE,European level,Europeisk nivå,2
B36,RESPONSE,National level,Nasjonalt nivå,3
B36,RESPONSE,Regional or local level,Regionalt eller lokalt nivå,4
B36,RESPONSE,(Don't know),(Vet ikke),888
B37,REQUEST,agriculture,... jordbruk,
B37,RESPONSE,International level,Internasjonalt nivå,1
B37,RESPONSE,European level,Europeisk nivå,2
B37,RESPONSE,National level,Nasjonalt nivå,3
B37,RESPONSE,Regional or local level,Regionalt eller lokalt nivå,4
B37,RESPONSE,(Don't know),(Vet ikke),888
B38,REQUEST,defence,... forsvar,
B38,RESPONSE,International level,Internasjonalt nivå,1
B38,RESPONSE,European level,Europeisk nivå,2
B38,RESPONSE,National level,Nasjonalt nivå,3
B38,RESPONSE,Regional or local level,Regionalt eller lokalt nivå,4
B38,RESPONSE,(Don't know),(Vet ikke),888
B39,REQUEST,social welfare,... sosiale velferdsordninger,
B39,RESPONSE,International level,Internasjonalt nivå,1
B39,RESPONSE,European level,Europeisk nivå,2
B39,RESPONSE,National level,Nasjonalt nivå,3
B39,RESPONSE,Regional or local level,Regionalt eller lokalt nivå,4
B39,RESPONSE,(Don't know),(Vet ikke),888
B40,REQUEST,aid to developing countries,... hjelp til utviklingsland,
B40,RESPONSE,International level,Internasjonalt nivå,1
B40,RESPONSE,European level,Europeisk nivå,2
B40,RESPONSE,National level,Nasjonalt nivå,3
B40,RESPONSE,Regional or local level,Regionalt eller lokalt nivå,4
B40,RESPONSE,(Don't know),(Vet ikke),888
B41,REQUEST,immigration and refugees,... innvandring og flyktninger,
B41,RESPONSE,International level,Internasjonalt nivå,1
B41,RESPONSE,European level,Europeisk nivå,2
B41,RESPONSE,National level,Nasjonalt nivå,3
B41,RESPONSE,Regional or local level,Regionalt eller lokalt nivå,4
B41,RESPONSE,(Don't know),(Vet ikke),888
B42,REQUEST,interest rates,... rentenivå,
B42,RESPONSE,International level,Internasjonalt nivå,1
B42,RESPONSE,European level,Europeisk nivå,2
B42,RESPONSE,National level,Nasjonalt nivå,3
B42,RESPONSE,Regional or local level,Regionalt eller lokalt nivå,4
B42,RESPONSE,(Don't know),(Vet ikke),888
B43,REQUEST,"Using this card, please say to what extent you agree or disagree with each of the following statements.",Bruk dette kortet til å viseihvilken grad du er enig eller uenig i følgende påstand.,
B43,REQUEST,"The less that government intervenes in the economy, the better it is for country","Desto mindre regjeringen forsøker å styre økonomien, desto bedre er det for Norge.",
B43,RESPONSE,Agree strongly,Svært enig,1
B43,RESPONSE,Agree,Enig,2
B43,RESPONSE,Neither Agree nor disagree,Verken enig eller uenig,3
B43,RESPONSE,Disagree,Uenig,4
B43,RESPONSE,Disagree strongly,Svært uenig,5
B43,RESPONSE,(Don't know),(Vet ikke),888
B44,REQUEST,The government should take measures to reduce differences in income levels,Regjeringen bør gjennomføre tiltak for å redusere inntektsforskjellene,
B44,RESPONSE,Agree strongly,Svært enig,1
B44,RESPONSE,Agree,Enig,2
B44,RESPONSE,Neither Agree nor disagree,Verken enig eller uenig,3
B44,RESPONSE,Disagree,Uenig,4
B44,RESPONSE,Disagree strongly,Svært uenig,5
B44,RESPONSE,(Don't know),(Vet ikke),888
B45,REQUEST,Employees need strong trade unions to protect their working conditions and wages,Arbeidstakere trenger sterke fagforeninger til å beskytte lønns- og arbeidsvillkår.,
B45,RESPONSE,Agree strongly,Svært enig,1
B45,RESPONSE,Agree,Enig,2
B45,RESPONSE,Neither Agree nor disagree,Verken enig eller uenig,3
B45,RESPONSE,Disagree,Uenig,4
B45,RESPONSE,Disagree strongly,Svært uenig,5
B45,RESPONSE,(Don't know),(Vet ikke),888
B46,REQUEST,Gay men and lesbians should be free to live their own life as they wish,Homofile og lesbiske bør ha frihet til å kunne velge å leve som de selv ønsker,
B46,RESPONSE,Agree strongly,Svært enig,1
B46,RESPONSE,Agree,Enig,2
B46,RESPONSE,Neither Agree nor disagree,Verken enig eller uenig,3
B46,RESPONSE,Disagree,Uenig,4
B46,RESPONSE,Disagree strongly,Svært uenig,5
B46,RESPONSE,(Don't know),(Vet ikke),888
B47,REQUEST,"Whatever the circumstances, the law should always be obeyed","Loven bør følges under enhver omstendighet, må alltid adlydes",
B47,RESPONSE,Agree strongly,Svært enig,1
B47,RESPONSE,Agree,Enig,2
B47,RESPONSE,Neither Agree nor disagree,Verken enig eller uenig,3
B47,RESPONSE,Disagree,Uenig,4
B47,RESPONSE,Disagree strongly,Svært uenig,5
B47,RESPONSE,(Don't know),(Vet ikke),888
B48,REQUEST,Political parties that wish to overthrow democracy should be banned,Politiske partier som ønsker å avskaffe demokratiet bør forbys,
B48,RESPONSE,Agree strongly,Svært enig,1
B48,RESPONSE,Agree,Enig,2
B48,RESPONSE,Neither Agree nor disagree,Verken enig eller uenig,3
B48,RESPONSE,Disagree,Uenig,4
B48,RESPONSE,Disagree strongly,Svært uenig,5
B48,RESPONSE,(Don't know),(Vet ikke),888
B49,REQUEST,Economic growth always endsup harming the environment,Økonomisk vekst fører alltid til skade på miljøet,
B49,RESPONSE,Agree strongly,Svært enig,1
B49,RESPONSE,Agree,Enig,2
B49,RESPONSE,Neither Agree nor disagree,Verken enig eller uenig,3
B49,RESPONSE,Disagree,Uenig,4
B49,RESPONSE,Disagree strongly,Svært uenig,5
B49,RESPONSE,(Don't know),(Vet ikke),888
B50,REQUEST,Modern science can be relied on to solve our environmental problems,Vi kan stole på at moderne vitenskap kan løse miljøproblemene våre.,
B50,RESPONSE,Agree strongly,Svært enig,1
B50,RESPONSE,Agree,Enig,2
B50,RESPONSE,Neither Agree nor disagree,Verken enig eller uenig,3
B50,RESPONSE,Disagree,Uenig,4
B50,RESPONSE,Disagree strongly,Svært uenig,5
B50,RESPONSE,(Don't know),(Vet ikke),888
A1,INSTRUCTION,CARD 1,KORT 1,
A1,INSTRUCTION,,Velg et svaralternativ fra dette kortet.,
A1,REQUEST,"On an average weekday, how much time, in total, do you spend watching television?","Hvor mye tid bruker du, alt i alt, til å se på TV en vanlig ukedag?",
A1,INSTRUCTION,Please use this card to answer.,KORT 1,
A1,RESPONSE,No time at all,Ikke noe tid,1
A1,RESPONSE,Less than 0.5 hour,Mindre enn en 0.5 time,2
A1,RESPONSE,0.5 hour to 1 hour,Fra 0.5 til 1 time,3
A1,RESPONSE,"More than 1 hour, up to 1.5 hours","Mer enn 1 time, opptil 1.5 time",4
A1,RESPONSE,"More than 1.5 hours, up to 2 hours","Mer enn 1.5, opptil 2 timer",5
A1,RESPONSE,"More than 2 hours, up to 2.5 hours","Mer enn 2 timer, opptil 2.5 timer",6
A1,RESPONSE,"More than 2.5 hours, up to 3 hours","Mer enn 2.5 timer, opptil 3 timer",7
A1,RESPONSE,More than 3 hours,Mer enn 3 timer,8
A1,RESPONSE,(Don't know),(Vet ikke),888
A2,INSTRUCTION,STILL CARD 1,KORT 1,
A2,INSTRUCTION,,Bruk fortsatt kortet til å svare.,
A2,REQUEST,"And again on an average weekday, how much of your time watching television is spent watching news or programmes about politics and current affairs?","Hvor mye av tv-tiden bruker du til å se nyheter og programmer om politikk og aktuelle saker, på en vanlig ukedag?",
A2,INSTRUCTION,Still use this card.,KORT 1,
A2,RESPONSE,No time at all,Ikke noe tid,1
A2,RESPONSE,Less than 0.5 hour,Mindre enn en 0.5 time,2
A2,RESPONSE,0.5 hour to 1 hour,Fra 0.5 til 1 time,3
A2,RESPONSE,"More than 1 hour, up to 1.5 hours","Mer enn 1 time, opptil 1.5 time",4
A2,RESPONSE,"More than 1.5 hours, up to 2 hours","Mer enn 1.5, opptil 2 timer",5
A2,RESPONSE,"More than 2 hours, up to 2.5 hours","Mer enn 2 timer, opptil 2.5 timer",6
A2,RESPONSE,"More than 2.5 hours, up to 3 hours","Mer enn 2.5 timer, opptil 3 timer",7
A2,RESPONSE,More than 3 hours,Mer enn 3 timer,8
A2,RESPONSE,(Don't know),(Vet ikke),888
A3,INSTRUCTION,ASK ALL,STILLES TIL ALLE,
A3,INSTRUCTION,,KORT 1,
A3,INSTRUCTION,,Bruk fortsatt kortet.,
A3,INSTRUCTION,STILL CARD 1,STILLES TIL ALLE,
A3,REQUEST,"On an average weekday, how much time, in total, do you spend listening to the radio?","Hvor mye tid, alt i alt, bruker du til å høre på radio, på en vanlig ukedag?",
A3,INSTRUCTION,Use the same card.,STILLES TIL ALLE,
A3,RESPONSE,No time at all,Ikke noe tid,1
A3,RESPONSE,Less than 0.5 hour,Mindre enn en 0.5 time,2
A3,RESPONSE,0.5 hour to 1 hour,Fra 0.5 til 1 time,3
A3,RESPONSE,"More than 1 hour, up to 1.5 hours","Mer enn 1 time, opptil 1.5 time",4
A3,RESPONSE,"More than 1.5 hours, up to 2 hours","Mer enn 1.5, opptil 2 timer",5
A3,RESPONSE,"More than 2 hours, up to 2.5 hours","Mer enn 2 timer, opptil 2.5 timer",6
A3,RESPONSE,"More than 2.5 hours, up to 3 hours","Mer enn 2.5 timer, opptil 3 timer",7
A3,RESPONSE,More than 3 hours,Mer enn 3 timer,8
A3,RESPONSE,(Don't know),(Vet ikke),888
A4,INSTRUCTION,STILL CARD 1,KORT 1,
A4,INSTRUCTION,,Bruk kortet til å svare.,
A4,REQUEST,"And again on an average weekday, how much of your time listening to the radio is spent listening to news or programmes about politics and current affairs?","Hvor mye av tiden, alt i alt, bruker du til å høre nyheter og radioprogrammer om politikk og aktuelle samfunnspørsmål, på en vanlig ukedag?",
A4,INSTRUCTION,Still use this card.,KORT 1,
A4,RESPONSE,No time at all,Ikke noe tid,1
A4,RESPONSE,Less than 0.5 hour,Mindre enn en 0.5 time,2
A4,RESPONSE,0.5 hour to 1 hour,Fra 0.5 til 1 time,3
A4,RESPONSE,"More than 1 hour, up to 1.5 hours","Mer enn 1 time, opptil 1.5 time",4
A4,RESPONSE,"More than 1.5 hours, up to 2 hours","Mer enn 1.5, opptil 2 timer",5
