item_name,item_type,source,target,item_value,source_survey_itemID,target_survey_itemID
E11a,REQUEST,"... a social club, club for the young, the retired/elderly, women, or friendly societies?","...einem Hobby- und Freizeitverein, einem Jugendklub, einem Senioren- verein, einer Frauenorganisation oder einem Serviceclub (z.B. Lions Club)?",,ESS_R01_2002_ENG_SOURCE_162,ESS_R01_2002_GER_DE_164
E11a,RESPONSE,None,nichts trifft zu,1,ESS_R01_2002_ENG_SOURCE_162,ESS_R01_2002_GER_DE_164
E11a,RESPONSE,Member,Mitglied,2,ESS_R01_2002_ENG_SOURCE_162,ESS_R01_2002_GER_DE_164
E11a,RESPONSE,Participated,Teil- genom- men,3,ESS_R01_2002_ENG_SOURCE_162,ESS_R01_2002_GER_DE_164
E11a,RESPONSE,Donated money,Geld ge- spendet,4,ESS_R01_2002_ENG_SOURCE_162,ESS_R01_2002_GER_DE_164
E11a,RESPONSE,Voluntary work,ehren- amtliche Tätigkeit,5,ESS_R01_2002_ENG_SOURCE_162,ESS_R01_2002_GER_DE_164
E11a,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_162,ESS_R01_2002_GER_DE_164
E12a,RESPONSE,None,nichts trifft zu,1,ESS_R01_2002_ENG_SOURCE_163,ESS_R01_2002_GER_DE_165
E12a,RESPONSE,Member,Mitglied,2,ESS_R01_2002_ENG_SOURCE_163,ESS_R01_2002_GER_DE_165
E12a,RESPONSE,Participated,Teil- genom- men,3,ESS_R01_2002_ENG_SOURCE_163,ESS_R01_2002_GER_DE_165
E12a,RESPONSE,Donated money,Geld ge- spendet,4,ESS_R01_2002_ENG_SOURCE_163,ESS_R01_2002_GER_DE_165
E12a,RESPONSE,Voluntary work,ehren- amtliche Tätigkeit,5,ESS_R01_2002_ENG_SOURCE_163,ESS_R01_2002_GER_DE_165
E12a,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_163,ESS_R01_2002_GER_DE_165
E1b,REQUEST,Do you have personal friends within this organisation?,Haben Sie persönliche Freunde in dieser Organisation?,,ESS_R01_2002_ENG_SOURCE_164,ESS_R01_2002_GER_DE_166
E1b,REQUEST,"...Firstly, a sports club or club for out-door activities?",...ein Sportverein oder ein Verein für Aktivitäten im Freien?,,ESS_R01_2002_ENG_SOURCE_164,ESS_R01_2002_GER_DE_166
E1b,RESPONSE,None,Ja,1,ESS_R01_2002_ENG_SOURCE_164,ESS_R01_2002_GER_DE_166
E1b,RESPONSE,Member,Nein,2,ESS_R01_2002_ENG_SOURCE_164,ESS_R01_2002_GER_DE_166
E1b,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_164,ESS_R01_2002_GER_DE_166
E2b,REQUEST,...an organisation for cultural or hobby activities?,...einer Organisation für kulturelle oder Freizeitaktivitäten?,,ESS_R01_2002_ENG_SOURCE_165,ESS_R01_2002_GER_DE_167
E2b,RESPONSE,None,Ja,1,ESS_R01_2002_ENG_SOURCE_165,ESS_R01_2002_GER_DE_167
E2b,RESPONSE,Member,Nein,2,ESS_R01_2002_ENG_SOURCE_165,ESS_R01_2002_GER_DE_167
E2b,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_165,ESS_R01_2002_GER_DE_167
E3b,RESPONSE,None,Ja,1,ESS_R01_2002_ENG_SOURCE_166,ESS_R01_2002_GER_DE_168
E3b,RESPONSE,Member,Nein,2,ESS_R01_2002_ENG_SOURCE_166,ESS_R01_2002_GER_DE_168
E3b,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_166,ESS_R01_2002_GER_DE_168
E4b,REQUEST,"...a business professional, or farmers' organisation?","...einem Wirtschafts-, Berufs- oder Bauernverband?",,ESS_R01_2002_ENG_SOURCE_167,ESS_R01_2002_GER_DE_169
E4b,RESPONSE,None,Ja,1,ESS_R01_2002_ENG_SOURCE_167,ESS_R01_2002_GER_DE_169
E4b,RESPONSE,Member,Nein,2,ESS_R01_2002_ENG_SOURCE_167,ESS_R01_2002_GER_DE_169
E4b,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_167,ESS_R01_2002_GER_DE_169
E5b,REQUEST,...a consumer or automobile organisation?,...einer Verbraucherschutzorganisation oder einem Automobilklub?,,ESS_R01_2002_ENG_SOURCE_168,ESS_R01_2002_GER_DE_170
E5b,RESPONSE,None,Ja,1,ESS_R01_2002_ENG_SOURCE_168,ESS_R01_2002_GER_DE_170
E5b,RESPONSE,Member,Nein,2,ESS_R01_2002_ENG_SOURCE_168,ESS_R01_2002_GER_DE_170
E5b,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_168,ESS_R01_2002_GER_DE_170
E6b,REQUEST,"...an organisation for humanitarian aid, human rights, minorities, or immigrants?","...einer Organisation für humanitäre Hilfe, Menschenrechte, Minderheiten oder Immigranten?",,ESS_R01_2002_ENG_SOURCE_169,ESS_R01_2002_GER_DE_171
E6b,RESPONSE,None,Ja,1,ESS_R01_2002_ENG_SOURCE_169,ESS_R01_2002_GER_DE_171
E6b,RESPONSE,Member,Nein,2,ESS_R01_2002_ENG_SOURCE_169,ESS_R01_2002_GER_DE_171
E6b,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_169,ESS_R01_2002_GER_DE_171
E7b,REQUEST,"...an organisation for environmental protection, peace or animal rights?",...einer Umweltschutz- oder Friedensorganisation oder einem Tierschutzverein?,,ESS_R01_2002_ENG_SOURCE_170,ESS_R01_2002_GER_DE_172
E7b,RESPONSE,None,Ja,1,ESS_R01_2002_ENG_SOURCE_170,ESS_R01_2002_GER_DE_172
E7b,RESPONSE,Member,Nein,2,ESS_R01_2002_ENG_SOURCE_170,ESS_R01_2002_GER_DE_172
E7b,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_170,ESS_R01_2002_GER_DE_172
E8b,REQUEST,...a religious or church organisation?,...einer religiösen oder kirchlichen Organisation?,,ESS_R01_2002_ENG_SOURCE_171,ESS_R01_2002_GER_DE_173
E8b,RESPONSE,None,Ja,1,ESS_R01_2002_ENG_SOURCE_171,ESS_R01_2002_GER_DE_173
E8b,RESPONSE,Member,Nein,2,ESS_R01_2002_ENG_SOURCE_171,ESS_R01_2002_GER_DE_173
E8b,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_171,ESS_R01_2002_GER_DE_173
E9b,REQUEST,...a political party?,...einer politischen Partei?,,ESS_R01_2002_ENG_SOURCE_172,ESS_R01_2002_GER_DE_174
E9b,RESPONSE,None,Ja,1,ESS_R01_2002_ENG_SOURCE_172,ESS_R01_2002_GER_DE_174
E9b,RESPONSE,Member,Nein,2,ESS_R01_2002_ENG_SOURCE_172,ESS_R01_2002_GER_DE_174
E9b,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_172,ESS_R01_2002_GER_DE_174
E10b,REQUEST,"...an organisation for science, education, or teachers and parents?",...einer Organisation zur Förderung von Wissenschaft oder Bildung oder einer Lehrer- oder Elternorganisation?,,ESS_R01_2002_ENG_SOURCE_173,ESS_R01_2002_GER_DE_175
E10b,RESPONSE,None,Ja,1,ESS_R01_2002_ENG_SOURCE_173,ESS_R01_2002_GER_DE_175
E10b,RESPONSE,Member,Nein,2,ESS_R01_2002_ENG_SOURCE_173,ESS_R01_2002_GER_DE_175
E10b,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_173,ESS_R01_2002_GER_DE_175
E11b,REQUEST,"... a social club, club for the young, the retired/elderly, women, or friendly societies?","...einem Hobby- und Freizeitverein, einem Jugendklub, einem Senioren- verein, einer Frauenorganisation oder einem Serviceclub (z.B. Lions Club)?",,ESS_R01_2002_ENG_SOURCE_174,ESS_R01_2002_GER_DE_176
E11b,RESPONSE,None,Ja,1,ESS_R01_2002_ENG_SOURCE_174,ESS_R01_2002_GER_DE_176
E11b,RESPONSE,Member,Nein,2,ESS_R01_2002_ENG_SOURCE_174,ESS_R01_2002_GER_DE_176
E11b,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_174,ESS_R01_2002_GER_DE_176
E12b,RESPONSE,None,Ja,1,ESS_R01_2002_ENG_SOURCE_175,ESS_R01_2002_GER_DE_177
E12b,RESPONSE,Member,Nein,2,ESS_R01_2002_ENG_SOURCE_175,ESS_R01_2002_GER_DE_177
E12b,RESPONSE,(Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_175,ESS_R01_2002_GER_DE_177
E13,INSTRUCTION,,Interviewer: BITTE VORLESEN,,,ESS_R01_2002_GER_DE_178
E13,REQUEST,"Looking at this card, how important is each of these things in your life.","Wenn Sie sich Liste 44 anschauen, wie wichtig sind diese Bereiche in Ihrem Leben?",,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,REQUEST,Firstly...,...Familie?,,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,REQUEST,...family?,,,ESS_R01_2002_ENG_SOURCE_176,
E13,RESPONSE, Extremely unimportant, äußerst unwichtig,0,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,RESPONSE,1,1,1,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,RESPONSE,2,2,2,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,RESPONSE,3,3,3,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,RESPONSE,4,4,4,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,RESPONSE,5,5,5,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,RESPONSE,6,6,6,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,RESPONSE,7,7,7,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,RESPONSE,8,8,8,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,RESPONSE,9,9,9,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,RESPONSE, Extremely important, äußerst wichtig,10,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E13,RESPONSE, (Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_176,ESS_R01_2002_GER_DE_178
E14,REQUEST,...friends?,...Freunde?,,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E14,RESPONSE, Extremely unimportant, äußerst unwichtig,0,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E14,RESPONSE,1,1,1,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E14,RESPONSE,2,2,2,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E14,RESPONSE,3,3,3,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E14,RESPONSE,4,4,4,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E14,RESPONSE,5,5,5,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E14,RESPONSE,6,6,6,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E14,RESPONSE,7,7,7,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E14,RESPONSE,8,8,8,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E14,RESPONSE,9,9,9,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E14,RESPONSE, Extremely important, äußerst wichtig,10,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E14,RESPONSE, (Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_177,ESS_R01_2002_GER_DE_179
E15,RESPONSE, Extremely unimportant, äußerst unwichtig,0,ESS_R01_2002_ENG_SOURCE_178,ESS_R01_2002_GER_DE_180
E15,RESPONSE,1,1,1,ESS_R01_2002_ENG_SOURCE_178,ESS_R01_2002_GER_DE_180
E15,RESPONSE,2,2,2,ESS_R01_2002_ENG_SOURCE_178,ESS_R01_2002_GER_DE_180
E15,RESPONSE,3,3,3,ESS_R01_2002_ENG_SOURCE_178,ESS_R01_2002_GER_DE_180
E15,RESPONSE,4,4,4,ESS_R01_2002_ENG_SOURCE_178,ESS_R01_2002_GER_DE_180
E15,RESPONSE,5,5,5,ESS_R01_2002_ENG_SOURCE_178,ESS_R01_2002_GER_DE_180
E15,RESPONSE,6,6,6,ESS_R01_2002_ENG_SOURCE_178,ESS_R01_2002_GER_DE_180
E15,RESPONSE,7,7,7,ESS_R01_2002_ENG_SOURCE_178,ESS_R01_2002_GER_DE_180
E15,RESPONSE,8,8,8,ESS_R01_2002_ENG_SOURCE_178,ESS_R01_2002_GER_DE_180
E15,RESPONSE,9,9,9,ESS_R01_2002_ENG_SOURCE_178,ESS_R01_2002_GER_DE_180
E15,RESPONSE, Extremely important, äußerst wichtig,10,ESS_R01_2002_ENG_SOURCE_178,ESS_R01_2002_GER_DE_180
E15,RESPONSE, (Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_178,ESS_R01_2002_GER_DE_180
E16,REQUEST,...politics?,...Politik?,,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E16,RESPONSE, Extremely unimportant, äußerst unwichtig,0,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E16,RESPONSE,1,1,1,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E16,RESPONSE,2,2,2,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E16,RESPONSE,3,3,3,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E16,RESPONSE,4,4,4,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E16,RESPONSE,5,5,5,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E16,RESPONSE,6,6,6,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E16,RESPONSE,7,7,7,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E16,RESPONSE,8,8,8,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E16,RESPONSE,9,9,9,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E16,RESPONSE, Extremely important, äußerst wichtig,10,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E16,RESPONSE, (Don't know),(Weiß nicht),888,ESS_R01_2002_ENG_SOURCE_179,ESS_R01_2002_GER_DE_181
E17,REQUEST,...work?,...Arbeit?,,ESS_R01_2002_ENG_SOURCE_180,ESS_R01_2002_GER_DE_182
E17,RESPONSE, Extremely unimportant, äußerst unwichtig,0,ESS_R01_2002_ENG_SOURCE_180,ESS_R01_2002_GER_DE_182
E17,RESPONSE,1,1,1,ESS_R01_2002_ENG_SOURCE_180,ESS_R01_2002_GER_DE_182
E17,RESPONSE,2,2,2,ESS_R01_2002_ENG_SOURCE_180,ESS_R01_2002_GER_DE_182
E17,RESPONSE,3,3,3,ESS_R01_2002_ENG_SOURCE_180,ESS_R01_2002_GER_DE_182
E17,RESPONSE,4,4,4,ESS_R01_2002_ENG_SOURCE_180,ESS_R01_2002_GER_DE_182
E17,RESPONSE,5,5,5,ESS_R01_2002_ENG_SOURCE_180,ESS_R01_2002_GER_DE_182
E17,RESPONSE,6,6,6,ESS_R01_2002_ENG_SOURCE_180,ESS_R01_2002_GER_DE_182
E17,RESPONSE,7,7,7,ESS_R01_2002_ENG_SOURCE_180,ESS_R01_2002_GER_DE_182
